"substudy_num","alpha_old","beta_old","alpha_var_old","beta_var_old","alpha","beta","alpha_variance","beta_variance","alpha_diff","beta_diff","alpha_var_diff","beta_var_diff","alpha_pct_change","beta_pct_change","alpha_var_pct_change","beta_var_pct_change"
97,1e-15,0.124949494949495,NA,0.00258732969771931,1e-15,0.124949494949495,0.00034420919658131,0.00493411400404068,0,0,NA,0.00234678430632137,0,0,NA,90.7029478457699
98,0.00121212121212217,0.0126666666666667,NA,6.11927460589003e-06,0.00121212121212217,0.0126666666666667,2.76323493922203e-05,8.81175543248165e-06,0,0,NA,2.69248082659162e-06,0,0,NA,43.9999999928097
99,0.0409090909090916,0.142848484848485,0.000204523606822835,0.00111317349788063,0.0409090909090916,0.142848484848485,0.000239034164292576,0.00168622731039906,0,0,3.4510557469741e-05,0.00057305381251843,0,0,16.8736303870616,51.4792899407821
101,1e-15,0.0239393939393939,NA,5.37826869658303e-06,1e-15,0.0239393939393939,1.05414066453006e-05,6.11927460589002e-06,0,0,NA,7.4100590930699e-07,0,0,NA,13.7777777752159
102,0.00560606060606123,3.06060606060606e-06,1.00991934413601e-06,2.41430481789612e-12,0.00560606060606123,3.06060606060606e-06,1.17126740503348e-06,4.29209745403756e-12,0,0,1.6134806089747e-07,1.87779263614144e-12,0,0,15.9763313451274,77.7455757231136
103,0.010303030303031,2.71254545454545e-05,7.32042128145975e-06,4.84567091557064e-11,0.010303030303031,2.71254545454545e-05,8.62913333096154e-06,5.98230977230943e-11,0,0,1.30871204950179e-06,1.13663885673879e-11,0,0,17.8775510179661,23.4563060562044
109,0.00509090909090909,-0.000275267595959596,2.06740648696652e-06,1.11279284033878e-06,0.00509090909090909,-0.000275267595959596,2.94513993824887e-06,1.80254046864794e-06,0,0,8.7773345128235e-07,6.8974762830916e-07,0,0,42.4557752135953,61.9834710186792
110,1e-15,0.0113939393939394,NA,1.16219008264463e-05,1e-15,0.0113939393939394,1.15692535517601e-05,1.84292419140904e-05,0,0,NA,6.8073410876441e-06,0,0,NA,58.5733881979777
111,0.0309090909090909,-0.00658532444444444,1.43480257116621e-05,1.36359043388763e-05,0.0309090909090909,-0.00658532444444444,1.87402784805382e-05,2.53560204648526e-05,0,0,4.3922527688761e-06,1.17201161259763e-05,0,0,30.6122448958253,85.9504132168371
112,1e-15,0.0464484848484849,NA,0.000258323947524076,1e-15,0.0464484848484849,6.58837915331404e-05,0.000441749235706851,0,0,NA,0.000183425288182775,0,0,NA,71.0059171594881
113,0.0212121212121219,0.00520234854545454,1.21011045673115e-05,1.77913391206102e-05,0.0212121212121219,0.00520234854545454,1.49396352682858e-05,2.56195283336786e-05,0,0,2.8385307009743e-06,7.8281892130684e-06,0,0,23.4567901215184,43.9999999975264
114,1e-15,0.033110101010101,NA,4.96166465686741e-05,1e-15,0.033110101010101,1.91891315223757e-05,6.75337689406954e-05,0,0,NA,1.79171223720213e-05,0,0,NA,36.1111111103835
115,0.0567878787878788,-0.000202646808080808,7.44266335307947e-05,2.46710849043498e-09,0.0567878787878788,-0.000202646808080808,0.000118020834515224,4.21890150139473e-09,0,0,4.35942009844293e-05,1.75179301095975e-09,0,0,58.5733882022301,71.0058883787476
116,1e-15,0.00263138181818182,NA,1.1723932695638e-07,1e-15,0.00263138181818182,0.00145439009296238,1.46447740592571e-07,0,0,NA,2.9208413636191e-08,0,0,NA,24.9134945971869
117,1e-15,0.000271313131313131,NA,2.12984818653385e-09,1e-15,0.000271313131313131,6.38088421903221e-05,2.62944220559734e-09,0,0,NA,4.9959401906349e-10,0,0,NA,23.4567791100992
118,1e-15,0.000405555555555556,NA,3.12663326732591e-09,1e-15,0.000405555555555556,4.48853041838279e-05,3.98556269768391e-09,0,0,NA,8.58929430358e-10,0,0,NA,27.471375188778
119,0.207070707070708,0.000727090909090909,0.00103747467140876,1.55439365828976e-08,0.207070707070708,0.000727090909090909,0.00112213260459572,1.70595585172845e-08,0,0,8.46579331869599e-05,1.5156219343869e-09,0,0,8.15999999999263,9.75056626613375
121,0.126262626262627,0.000640909090909091,0.000568121130063435,3.92075787980903e-09,0.126262626262627,0.000640909090909091,0.000599245370205698,3.92075787980903e-09,0,0,3.11242401422631e-05,0,0,0,5.47845142438779,0
139,1e-15,0.019761027030303,NA,1.40201739422779e-05,1e-15,0.019761027030303,8.78118561880308e-06,2.01890504768802e-05,0,0,NA,6.1688765346023e-06,0,0,NA,43.9999999968618
140,0.00969696969697037,0.010417412,8.62913333096154e-06,6.43330637229543e-06,0.00969696969697037,0.010417412,9.56136657170254e-06,9.26396117610542e-06,0,0,9.32233240741e-07,2.83065480380999e-06,0,0,10.8033240984711,43.9999999931606
141,0.0153030303030303,-0.00051231094949495,2.45450903636256e-06,7.34284817092515e-07,0.0153030303030303,-0.00051231094949495,2.99844455688612e-06,1.02152969951858e-06,0,0,5.4393552052356e-07,2.87244882426065e-07,0,0,22.1606648109161,39.1190006041871
142,0.00939393939394008,0.0229726618888889,1.0541406645302e-05,4.07020433731131e-05,0.00939393939394008,0.0229726618888889,1.26449072910766e-05,5.8610942457283e-05,0,0,2.1035006457746e-06,1.79088990841699e-05,0,0,19.9546485241846,43.9999999989193
143,0.0121212121212129,0.00256762585858586,3.25352056953776e-06,1.36269781063467e-06,0.0121212121212129,0.00256762585858586,3.25352056953776e-06,1.77985020164528e-06,0,0,0,4.1715239101061e-07,0,0,0,30.6122448754945
144,0.0123232323232327,0.00212121212121212,1.65995947425386e-06,4.14989868563506e-07,0.0123232323232327,0.00212121212121212,1.79541216735297e-06,5.20563291126062e-07,0,0,1.3545269309911e-07,1.05573422562556e-07,0,0,8.15999999508392,25.4399999386973
163,0.04,-0.000920034,3.92075787980903e-05,4.55716082997508e-06,0.04,-0.000920034,4.84044182692473e-05,7.90522366460876e-06,0,0,9.196839471157e-06,3.34806283463368e-06,0,0,23.4567901228586,73.4681736900057
164,0.0500909090909091,-0.00275176545454545,2.37432701790198e-05,3.77555952750819e-07,0.0500909090909091,-0.00275176545454545,3.20200605119768e-05,6.32308239208985e-07,0,0,8.276790332957e-06,2.54752286458166e-07,0,0,34.8595213304779,67.4740482641941
165,1e-15,0.0084427036060606,NA,3.99431309262787e-06,1e-15,0.0084427036060606,6.79919400654434e-05,5.75181085338413e-06,0,0,NA,1.75749776075626e-06,0,0,NA,43.9999999889843
166,1e-15,0.00291414141414141,NA,5.15370672297079e-07,1e-15,0.00291414141414141,6.79919400654434e-05,6.7313720463292e-07,0,0,NA,1.57766532335841e-07,0,0,NA,30.6122448385608
167,0.024242424242425,0.00536011480808081,9.58792592329105e-05,4.43093387492738e-06,0.024242424242425,0.00536011480808081,0.000117126740503362,6.79208911440116e-06,0,0,2.12474812704515e-05,2.36115523947378e-06,0,0,22.1606648197139,53.2879818473842
168,0.040404040404041,0.00100392568686869,9.08993808101485e-05,4.54116510393567e-07,0.040404040404041,0.00100392568686869,0.000106237406352255,7.50682394732223e-07,0,0,1.53380255421065e-05,2.96565884338656e-07,0,0,16.8736303869579,65.3061223051704
170,0.00146464646464717,0.000247861616161616,3.73490881707006e-08,3.50908476438572e-09,0.00146464646464717,0.000247861616161616,4.2494962540886e-08,4.17610087662433e-09,0,0,5.1458743701854e-09,6.6701611223861e-10,0,0,13.7777774088858,19.0082590459391
171,0.00131313131313205,0.000596989898989899,7.32042128145732e-08,1.34743711393592e-08,0.00131313131313205,0.000596989898989899,8.03420385538626e-08,1.83401162730167e-08,0,0,7.1378257392894e-09,4.8657451336575e-09,0,0,9.75056676022717,36.1111084311265
